ALANINE METABOLISM,AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM,AMINOACYL-TRNA BIOSYNTHESIS,ARGININE METABOLISM,ASCAROSIDE BIOSYNTHESIS,ASPARTATE/ASPARAGINE METABOLISM,BCFA BIOSYNTHESIS,BIOSYNTHESIS OF BILE ACID-LIKE MOLECULES,CHITIN BIOSYNTHESIS,CHITIN DEGRADATION,COLLAGEN BIOSYNTHESIS,CYSTEINE METABOLISM,ELECTRON TRANSFER FLAVOPROTEIN,ETC-COMPLEX I,ETC-COMPLEX II,ETC-COMPLEX III,ETC-COMPLEX IV,ETC-COMPLEX V,ETHER LIPID METABOLISM,FATTY ACID BIOSYNTHESIS OTHER,FATTY ACID DEGRADATION OTHER,FOLATE BIOSYNTHESIS,FOLATE CYCLE,FRUCTOSE AND MANNOSE METABOLISM,GALACTOSE METABOLISM,GLUTAMATE/GLUTAMINE METABOLISM,GLUTATHIONE METABOLISM,GLYCEROLIPID METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM,GLYCINE AND THREONINE METABOLISM OTHER,GLYCINE CLEAVAGE SYSTEM,GLYCOLYSIS,GLUCONEOGENESIS/MISC,GLYOXYLATE AND DICARBOXYLATE METABOLISM,GUANYLATE CYCLASE,HISTIDINE DEGRADATION,INOSITOL PHOSPHATE METABOLISM,IRON METABOLISM,ISOLEUCINE DEGRADATION,KETONE BODY METABOLISM,LEUCINE DEGRADATION,LYSINE DEGRADATION,MET/SAM CYCLE,METHIONINE SALVAGE,METHYLGLYOXAL DETOXIFICATION,MEVALONATE METABOLISM,MITOCHONDRIAL FATTY ACID DEGRADATION,MOLYBDENUM COFACTOR BIOSYNTHESIS,MUFA BIOSYNTHESIS,N-GLYCAN BIOSYNTHESIS,NICOTINATE AND NICOTINAMIDE METABOLISM,OTHER,PANTOTHENATE AND COA BIOSYNTHESIS,PENTOSE AND GLUCURONATE INTERCONVERSIONS,PENTOSE PHOSPHATE PATHWAY,PEROXISOMAL FATTY ACID DEGRADATION,PHENYLALANINE DEGRADATION,PORPHYRIN METABOLISM,PROLINE METABOLISM,PROPIONATE DEGRADATION CANONICAL,PROPIONATE DEGRADATION OTHER,PROPIONATE DEGRADATION SHUNT,PUFA BIOSYNTHESIS,PURINE METABOLISM,PYRIMIDINE METABOLISM,PYRUVATE METABOLISM,RETINOL METABOLISM,RIBOFLAVIN METABOLISM,ROS METABOLISM,SELENOCOMPOUND METABOLISM,SERINE METABOLISM,SPHINGOLIPID METABOLISM,STARCH AND SUCROSE METABOLISM,STEROID METABOLISM OTHER,SULFUR METABOLISM,TAURINE AND HYPOTAURINE METABOLISM,TRICARBOXYLIC ACID CYCLE,TRYPTOPHAN DEGRADATION,TYROSINE METABOLISM,UBIQUINONE METABOLISM,UGT ENZYME,VACUOLAR ATP-ASE,VALINE DEGRADATION,VITAMIN B12 ENZYME,VITAMIN B12 METABOLISM,VITAMIN B6 METABOLISM
WBGene00019633,WBGene00007466,WBGene00001498,WBGene00007509,WBGene00017123,WBGene00017565,,WBGene00008566,,WBGene00007473,WBGene00006592,WBGene00008732,,WBGene00009712,,WBGene00019007,WBGene00012895,WBGene00011015,WBGene00007756,WBGene00015887,,,WBGene00013708,WBGene00014013,WBGene00019895,WBGene00007480,WBGene00011393,WBGene00000960,WBGene00000513,WBGene00011291,,WBGene00001683,WBGene00007824,,WBGene00001538,,WBGene00004036,WBGene00012885,WBGene00007129,WBGene00007330,WBGene00014054,WBGene00010794,WBGene00018783,WBGene00015064,,,WBGene00007129,,WBGene00001394,WBGene00007464,WBGene00004803,WBGene00000282,,WBGene00022130,WBGene00013597,WBGene00017123,WBGene00020146,,WBGene00015814,,WBGene00012799,,,WBGene00004391,WBGene00004392,WBGene00013854,WBGene00017060,WBGene00009146,WBGene00011110,WBGene00012867,WBGene00013866,WBGene00006418,WBGene00006863,,WBGene00010380,,WBGene00007942,WBGene00000831,WBGene00006562,WBGene00020146,WBGene00008097,WBGene00006917,WBGene00006518,,,
WBGene00020382,WBGene00007467,WBGene00001744,WBGene00008408,WBGene00019060,WBGene00017648,,WBGene00008567,,WBGene00010799,WBGene00012815,WBGene00009048,,WBGene00009740,,WBGene00019937,WBGene00013854,WBGene00011273,WBGene00008749,WBGene00015889,,,WBGene00015512,WBGene00015464,,WBGene00008435,WBGene00011587,WBGene00006483,WBGene00000514,WBGene00011587,,WBGene00001684,WBGene00009082,,WBGene00001540,,WBGene00004037,WBGene00012895,WBGene00009952,WBGene00010035,WBGene00015326,WBGene00014098,WBGene00019322,WBGene00015538,,,WBGene00007130,,WBGene00001397,WBGene00007556,WBGene00007698,WBGene00000283,,,WBGene00015101,WBGene00019022,WBGene00021401,,WBGene00016652,,WBGene00014054,,,WBGene00004392,WBGene00006568,WBGene00015413,WBGene00018755,WBGene00011224,WBGene00013220,WBGene00013041,WBGene00013920,WBGene00006505,WBGene00008780,,WBGene00010383,,WBGene00007993,WBGene00001839,WBGene00009001,WBGene00022849,WBGene00008485,WBGene00006918,WBGene00007122,,,
WBGene00020842,WBGene00007469,WBGene00002001,WBGene00009706,WBGene00020517,WBGene00019730,,WBGene00009218,,WBGene00010945,WBGene00013030,WBGene00010380,,WBGene00009992,,WBGene00020181,WBGene00017121,WBGene00012040,WBGene00008776,WBGene00016511,,,WBGene00016957,WBGene00015678,,WBGene00008546,WBGene00012416,WBGene00007446,WBGene00000515,WBGene00011767,,WBGene00001685,WBGene00010790,,WBGene00001541,,WBGene00004038,WBGene00013854,WBGene00010035,WBGene00012608,WBGene00019406,WBGene00019819,WBGene00020491,WBGene00015540,,,WBGene00007175,,WBGene00001398,WBGene00008258,WBGene00007753,WBGene00000284,,,WBGene00017166,WBGene00019060,,,WBGene00018904,,WBGene00015125,,,WBGene00007753,WBGene00007089,WBGene00017121,WBGene00019240,WBGene00011262,WBGene00015553,WBGene00013151,WBGene00015733,WBGene00007918,WBGene00010416,,WBGene00010397,,WBGene00009353,WBGene00006562,WBGene00009628,,WBGene00008486,WBGene00006919,WBGene00007129,,,
,WBGene00007470,WBGene00002152,WBGene00010924,,WBGene00020146,,WBGene00009980,,WBGene00011157,WBGene00014807,WBGene00010383,,WBGene00010326,,WBGene00020757,WBGene00017926,WBGene00017982,WBGene00009057,WBGene00016716,,,WBGene00017765,WBGene00016583,,WBGene00009035,WBGene00014028,WBGene00008749,WBGene00000958,WBGene00012007,,WBGene00001686,WBGene00010791,,WBGene00001542,,WBGene00004039,WBGene00015021,WBGene00010794,WBGene00017301,WBGene00020366,WBGene00020347,WBGene00022856,WBGene00020149,,,WBGene00008320,,WBGene00001399,WBGene00008411,WBGene00007755,WBGene00000295,,,WBGene00017272,,,,WBGene00020146,,,,,WBGene00007755,WBGene00007753,WBGene00021345,,WBGene00011271,WBGene00021401,WBGene00014228,WBGene00016020,WBGene00008706,WBGene00010665,,WBGene00010759,,WBGene00009440,WBGene00006600,WBGene00010661,,WBGene00008583,WBGene00006920,WBGene00010035,,,
,WBGene00007471,WBGene00002153,WBGene00011938,,,,WBGene00009981,,WBGene00011158,WBGene00015168,WBGene00010759,,WBGene00010957,,,WBGene00022170,WBGene00019061,WBGene00009801,WBGene00017781,,,WBGene00017777,WBGene00019295,,WBGene00009271,WBGene00016629,WBGene00010296,WBGene00000959,WBGene00017262,,WBGene00020185,WBGene00010794,,WBGene00001543,,WBGene00004087,WBGene00017121,WBGene00012713,WBGene00017769,WBGene00020812,WBGene00020679,,,,,WBGene00008629,,WBGene00002891,WBGene00008775,WBGene00009176,WBGene00000366,,,WBGene00017283,,,,WBGene00077688,,,,,WBGene00008443,WBGene00007755,,,WBGene00011879,,WBGene00015553,WBGene00018398,WBGene00008749,WBGene00011050,,WBGene00011307,,WBGene00009664,WBGene00009232,WBGene00015332,,WBGene00009255,WBGene00006921,WBGene00010794,,,
,WBGene00007472,WBGene00002238,WBGene00013894,,,,WBGene00010336,,WBGene00011159,WBGene00015752,WBGene00010941,,WBGene00010958,,,,WBGene00019880,WBGene00011423,WBGene00018152,,,WBGene00018174,WBGene00019813,,WBGene00012326,WBGene00016906,WBGene00010339,WBGene00000960,WBGene00017765,,WBGene00019001,WBGene00011232,,WBGene00001544,,WBGene00004088,WBGene00019830,WBGene00012799,WBGene00019978,WBGene00022150,WBGene00020950,,,,,WBGene00009622,,WBGene00020517,WBGene00009219,WBGene00011559,WBGene00001002,,,WBGene00017818,,,,,,,,,WBGene00008458,WBGene00007812,,,WBGene00014076,,WBGene00017442,WBGene00018783,WBGene00009192,WBGene00011409,,WBGene00012390,,WBGene00009812,WBGene00010595,WBGene00015334,,WBGene00009450,WBGene00009882,WBGene00012713,,,
,WBGene00007473,WBGene00003073,WBGene00015509,,,,WBGene00012394,,WBGene00011161,WBGene00015773,WBGene00011307,,WBGene00010959,,,,WBGene00022089,WBGene00012319,WBGene00019404,,,WBGene00019492,WBGene00021628,,WBGene00014095,WBGene00017084,WBGene00010408,WBGene00004020,WBGene00018174,,WBGene00011884,WBGene00011510,,WBGene00001545,,WBGene00004089,,WBGene00012855,WBGene00020166,,,,,,,WBGene00009952,,,WBGene00009583,WBGene00011573,WBGene00001033,,,WBGene00019890,,,,,,,,,WBGene00008654,WBGene00008131,,,WBGene00015161,,WBGene00019094,WBGene00021787,WBGene00010769,WBGene00012020,,WBGene00013854,,WBGene00010317,WBGene00011088,WBGene00015778,,WBGene00010904,WBGene00010130,WBGene00012799,,,
,WBGene00007965,WBGene00003074,WBGene00015814,,,,WBGene00012722,,WBGene00011162,WBGene00022836,WBGene00011587,,WBGene00010961,,,,WBGene00022336,WBGene00013024,WBGene00019920,,,WBGene00022455,WBGene00022306,,WBGene00015778,WBGene00018850,WBGene00010425,WBGene00004023,WBGene00020022,,WBGene00009126,WBGene00015270,,WBGene00001546,,WBGene00006763,,WBGene00014054,WBGene00020347,,,,,,,WBGene00010035,,,WBGene00010284,WBGene00012295,WBGene00001093,,,WBGene00020107,,,,,,,,,WBGene00009119,WBGene00008948,,,WBGene00016152,,WBGene00019096,WBGene00022856,WBGene00011037,WBGene00012803,,WBGene00017121,,WBGene00010780,WBGene00011089,WBGene00016294,,WBGene00011006,WBGene00013025,WBGene00012855,,,
,WBGene00008132,WBGene00003415,WBGene00016657,,,,WBGene00012723,,WBGene00011164,WBGene00077688,WBGene00013866,,WBGene00010963,,,,WBGene00022582,WBGene00013080,WBGene00020166,,,,WBGene00022456,,WBGene00016333,WBGene00019204,WBGene00011106,WBGene00004040,WBGene00020382,,WBGene00014001,WBGene00015413,,WBGene00001547,,WBGene00006932,,WBGene00015125,WBGene00022150,,,,,,,WBGene00011122,,,WBGene00010720,WBGene00012423,WBGene00001130,,,WBGene00021286,,,,,,,,,WBGene00009126,WBGene00009119,,,WBGene00018696,,WBGene00019962,,WBGene00011095,WBGene00013597,,WBGene00017387,,WBGene00010794,WBGene00013220,WBGene00016419,,WBGene00011238,WBGene00018698,WBGene00014054,,,
,WBGene00008546,WBGene00003815,WBGene00017975,,,,WBGene00013284,,WBGene00011166,,WBGene00015021,,WBGene00010966,,,,,WBGene00017026,WBGene00020258,,,,WBGene00044903,,WBGene00016652,WBGene00019846,WBGene00011543,WBGene00006483,WBGene00021787,,WBGene00002262,WBGene00016810,,WBGene00001548,,WBGene00007620,,WBGene00015894,,,,,,,,WBGene00011467,,,WBGene00011193,WBGene00013336,WBGene00001134,,,WBGene00022199,,,,,,,,,WBGene00009531,WBGene00009575,,,WBGene00020471,,WBGene00020797,,WBGene00011517,WBGene00016810,,WBGene00019094,,WBGene00014098,WBGene00015802,WBGene00016652,,WBGene00011340,WBGene00020507,WBGene00015894,,,
