Gene,ADL,AFD,AIN,AIY,ASEL,ASER
WBGene00000217,0.36399975,3.594403751,0.462818626,1.384507081,0.446224598,1.386014799
WBGene00000218,0.214256964,0.621150701,0.779687873,1.457211203,0.87864985,0.753260436
WBGene00000219,0.565640065,3.359364632,0.703440948,1.371366812,0.836978748,0.701002984
WBGene00000220,1.128427144,0.069854869,0.138668833,0.333692503,0.100533576,0.181269303
WBGene00000221,1.710427157,3.377417111,0.362868095,0.038483259,1.790769338,4.132809638
WBGene00000222,0.47635102,0.052432578,0.123975951,0.089314017,0.882369494,0.242895089
WBGene00000223,0.709726878,6.192030928,0.730421414,1.476746514,1.038023343,2.758723
WBGene00000224,0.640888903,1.566195237,0.383257814,1.518420253,0.780598458,1.171647398
WBGene00000225,0.271020014,0.03224352,0.974476754,1.393655386,0.351928893,0.207950356
WBGene00000226,0.34667161,0.341142974,1.606358732,0.123343555,0.279357382,0.28155613
WBGene00000227,6.011318048,0.351427129,0.339758567,0.709353014,0.426113478,1.862694377
WBGene00000228,0.560724308,4.336113985,1.550299631,0.705332581,0.227708502,2.427617684
WBGene00000229,0.707863142,0.815265183,1.297404532,0.728654355,1.578579387,2.109464133
WBGene00000230,0.842227091,0.757459318,0.885341547,0.710157628,1.444759519,2.523047146
WBGene00000231,1.151073872,0.82459093,1.35718821,0.365645122,0.92608691,0.898207061
WBGene00000232,0.519654826,0.021251402,1.087580406,1.17051097,0.171903397,0.838581315
WBGene00000233,0.356423463,3.568760825,0.265238507,0.126797024,0.430881389,0.378697809
WBGene00000235,0.738162054,0.442502304,0.672190087,1.076748312,0.61550779,0.603778459
WBGene00000236,1.463650075,1.446922378,0.540036528,0.264091853,1.009939718,0.952150363
WBGene00000237,0.601110236,1.323501051,0.179426148,0.410814995,0.196625077,1.018885846
WBGene00000238,0.047476576,0.034170051,0.072525898,0.155474063,0.06689589,0.071412401
WBGene00000239,0.162249103,0.065317318,0.819785794,0.206667519,0.833073988,0.776160007
WBGene00000240,0.243856971,0.12859514,1.252563628,2.208986698,2.524545733,1.077335442
WBGene00000241,2.422324005,0.036073936,0.010690731,0.005089548,2.767289647,2.397456721
WBGene00000242,2.291498092,0.942524226,0.04213433,0.002760981,5.384184327,3.752135726
WBGene00000244,3.852891247,0.630238796,0.007819526,0.057596873,3.089414101,1.018801914
WBGene00000245,0.70228332,0.096302241,0.408930864,4.548031919,0.762067306,0.09388822
WBGene00000246,3.227047181,0.194366608,0.417772619,0.372089488,9.613700804,1.915960784
WBGene00000247,2.103426819,1.11508551,0.665544547,0.038145188,0.40378566,1.419448017
WBGene00000248,0.151972429,0.072103308,0.645206096,0.518945177,0.082501463,0.011233882
WBGene00000249,0.560252199,1.848682307,0.49073125,0.853513819,1.279358458,1.426633666
WBGene00000250,0.344741077,0.406551374,2.177750381,2.433106948,0.421152679,0.331973382
WBGene00000251,0.400745807,0.506127031,0.318215847,0.729016114,0.931166423,0.569487348
WBGene00000252,0.267316798,0.251063443,0.732293352,1.60939389,0.486618588,0.31669374
WBGene00000253,0.723166495,0.565666686,1.081322287,1.561576577,0.765179057,0.863863117
WBGene00000254,1.623596503,0.661627977,0.455860139,1.767110862,0.157122005,0.538875814
WBGene00000255,0.389823655,0.321165997,0.188994209,0.378927045,0.158854534,0.179437547
WBGene00000256,0.241994391,0.163621516,5.911346344,1.483419269,0.348673654,0.181214278
WBGene00000257,0.293036223,2.269226442,0.361602036,0.696382357,0.713466529,0.44513291
WBGene00000259,0.33633801,0.151352485,0.545378791,0.137584194,1.300658574,2.594072377
WBGene00000262,0.205278677,2.448616397,0.026936544,1.203956428,3.519336218,10.91662781
WBGene00000263,0.692848177,1.092548104,1.342004983,0.866238612,1.048410796,1.701941295
WBGene00000264,12.87142736,2.048924277,0.172538213,0.506042708,0.141926737,1.213964198
WBGene00000265,0.318178118,0.443253806,0.311855781,0.743198154,0.570671718,0.503799311
WBGene00000266,2.571369665,0.789126359,0.196628775,0.094463498,0.587832042,0.736551161
WBGene00000267,0.01665915,0.013605464,7.55566321,0.060080208,0.058028948,0.023187524
WBGene00000268,4.521767011,0.032924883,0.356058183,0.103940267,0.374555234,0.262556975
WBGene00000269,0.463930375,0.042976974,1.022243752,0.130581934,0.45510242,1.265245365
WBGene00000270,0.986684921,1.122299616,0.853842598,0.135172887,0.040569155,0.577617596
WBGene00000271,0.156235405,0.09895977,0.836681398,1.316029282,0.122109216,0.568247108
WBGene00000272,0.556026545,0.55165196,1.483451114,0,0.170936349,1.79464435
WBGene00000273,1.221340489,2.047390224,0.502673891,0.776256185,0.479900987,0.467262792
WBGene00000274,0.726940791,0.12912061,0.470765952,0.355470718,0.147342899,0.143853664
WBGene00000275,0.362864472,0.397889807,8.120075806,0.883052314,0.650273368,0.475908251
WBGene00000276,0.634388566,0.59213912,2.099860595,0.646171808,0.909033951,0.808964216
WBGene00000277,0.623982124,0.94448087,2.540549613,1.967890829,0.55617236,1.176438512
WBGene00000279,0.009336408,0.521386516,1.679256749,2.699988947,0.155212925,1.493356783
WBGene00000280,0.003434207,0.14799628,0.008969376,2.557739573,0.328996039,1.656592232
WBGene00000281,1.187949608,0.303879009,1.836314672,0.096884665,0.579760272,0.553230812
WBGene00000282,1.019728413,0.395565313,5.744576408,1.980991387,0.22251648,0.183313406
WBGene00000283,0.091227154,0.232266605,0.051627318,0.022731278,0.317409186,0.165706829
WBGene00000284,0.690090336,0.370463988,0.662269266,0.151489145,0.49271015,0.474115973
WBGene00000285,0.313798524,0.101753505,0.03609376,0.070262639,0.800253065,1.235202187
WBGene00000286,0.064555445,0.331843848,0.110705305,0.029270146,0.074906223,0.141585665
WBGene00000287,0.087422537,0.117656574,0.226533341,0.426046994,0.134625523,0.210839356
WBGene00000288,0.895865489,2.326934303,0.519376457,1.580692481,1.822844216,2.436929242
WBGene00000289,1.204574137,0.191553385,3.814434748,0.075566726,0.238073282,0.07001529
WBGene00000292,0.184260651,0.427311643,0.352346477,1.326772444,0.846458503,1.265759189
WBGene00000293,0.553856204,0.951895546,0.543101489,0.860754434,0.761414915,0.541372094
WBGene00000294,0.248990118,7.670094977,0.24341966,0.235153919,0.175200773,1.028442607
WBGene00000295,0.012035782,0.055450082,0.032831155,0.036503071,0.016103323,0.127141783
WBGene00000296,0.297285591,0.517491135,0.736950739,0,0.541269701,7.736208558
WBGene00000298,0.111397385,0.094482116,4.686689274,0.349172187,0.984748292,0.910564133
WBGene00000301,0.056825148,0.169098172,0.109267612,0.060037316,0.072823534,0.085136697
WBGene00000302,1.672763813,0.749814209,0.891359991,1.130708736,0.408666619,0.253248998
WBGene00000308,1.147518962,0.810917408,0.877995794,3.160547315,2.462725418,0.898716065
WBGene00000366,0.677868418,0.377636349,1.185708672,0.816680232,0.80287639,0.311471103
WBGene00000367,0.380016163,1.531222331,0.171555301,0.634304475,0.020445733,0.617175836
WBGene00000368,0.3965237,0.412159993,1.141648829,0.318368431,0.353781215,0.821320255
WBGene00000369,0.683420197,1.264615569,1.049963408,0.349222664,0.751980573,2.444789189
WBGene00000370,0.244591762,0.421792656,0.223477335,0.136063857,1.331095399,3.015749164
WBGene00000371,0.535678572,1.002422766,1.295585601,0.824431463,1.345227721,2.582541142
WBGene00000372,1.147449663,0.903505644,0.365052987,0.755239409,0.440668147,0
WBGene00000373,0.874532099,0.248998047,0.962218518,0.741525251,0.495065116,0.676454721
WBGene00000374,0.70796013,2.627143549,1.56515632,1.503774228,2.419702755,0.995341941
WBGene00000375,0,0,0,2.527614418,0,0
WBGene00000376,0.54606427,5.172344579,0.717268705,1.011404835,0.295462389,0.386650848
WBGene00000377,0.409140487,0.733671342,1.196628177,0.665365241,0.779720119,0.325400413
WBGene00000378,0.52767044,0.354364563,0.423445915,0.879396287,0.722534881,0.352832113
WBGene00000379,0.500063383,0.865559355,0.689022156,0.474366655,0.267952103,0.330735269
WBGene00000380,0.606104938,3.262954754,1.02471278,1.232343701,0.679857634,0.488555824
WBGene00000381,0.676192666,0.497806064,0.666862478,0.255342088,0.82467975,0.507450189
WBGene00000382,0.282454076,0.892160106,0.949990283,0.277319679,0.161444078,0.511306235
WBGene00000383,0.21186654,0.054847784,0.509466242,0.076778201,0.033064216,0.124639486
WBGene00000386,0.463769762,0.151396799,1.535742361,0.406921513,0.155944257,0.154907457
WBGene00000387,0.550064986,0.451293055,0.696043912,0.765831993,0.852560997,0.994370921
WBGene00000388,0.593107997,1.341744898,0.810356316,2.283391543,0.255556358,0.570115223
WBGene00000389,0.633119435,0.229361475,0.612454253,1.713481621,1.035939278,0.166237993
WBGene00000390,0.682244688,1.005396158,0.664289918,0.413875971,0.72729547,0.572187291
WBGene00000391,0.197752932,0.146202391,0.193396516,0.169226595,0.286540198,0.160119547
WBGene00000392,2.801809193,0.539545715,0.413215871,7.318571073,0.325058192,0.532879972
WBGene00000393,1.525825358,0.055189345,1.678063486,0.214212758,0.060581922,0.838834922
WBGene00000395,13.01044673,0.207985017,0.505679017,0.440356569,0.415808968,0.488516114
WBGene00000396,0.162286219,0.728660569,1.743352391,0.46158914,0.482062924,0.226319581
WBGene00000397,1.935164827,0.36358735,0.57941558,11.04924211,0.569039147,0.848422167
WBGene00000399,0.571633498,3.81970384,0.537409094,1.340154842,0.912339559,0.898103063
WBGene00000401,0.037049692,30.02473498,0.049601761,6.213450431,0.090051384,0.090501247
WBGene00000402,0.824679092,0.589850077,0.948141468,1.080514473,1.402354754,1.440634347
WBGene00000403,0.540393677,1.493723431,3.854543405,1.41948886,0.768534424,1.402909264
WBGene00000405,7.12759234,1.259546152,5.224149702,0.33311506,0.247466208,0.176782971
WBGene00000406,0.03250113,0.850947964,0.112262502,0.086705794,5.906598391,6.021521723
WBGene00000407,0.645227123,0.260126667,0.546946607,0.202996694,0.23227942,0.125754543
WBGene00000408,1.325200317,0.936198245,1.243059909,0.326783354,0.839702476,0.856471569
WBGene00000409,0.843452953,0.924531676,0.975919267,0.295184975,0.737205749,1.400245747
WBGene00000410,1.052301485,1.085294454,0.606283543,0.190188248,1.949313048,3.504418166
WBGene00000411,2.752763365,0.549210305,0.504077836,0.966001097,0.819713021,0.675914363
WBGene00000412,5.128144491,0.325250006,0.533714171,0.716524237,0.463377931,0.885919637
WBGene00000413,0.372587253,0.510621556,0.489458762,1.028187042,0.556402735,1.45817049
WBGene00000414,0.761721836,0.684275913,1.624037793,2.756893094,0.345097452,1.557682559
WBGene00000415,1.011829357,0.073252209,1.779004531,0.682949639,0.609432953,0.120836839
WBGene00000416,0.853220978,0.072657121,0.551105724,0.69325574,0.078671788,0.376710403
WBGene00000417,0.37149771,0.379672594,0.266510408,0.208846045,0.401101995,0.192261799
WBGene00000418,0.743182941,1.325760585,1.580525107,0.677905896,0.488774219,0.78537956
WBGene00000419,0.846952819,0.090794509,0.632900188,0.32079188,1.244482925,0.370667682
WBGene00000420,1.358322107,0.946985811,2.023749544,0.149092817,0.14153784,0.164280943
WBGene00000421,1.672982979,1.021585405,0.86958046,0.23714833,0.044255303,0.890992681
WBGene00000422,0.190687722,0.187653586,0.208832841,0.046993766,2.173559822,0.126786138
WBGene00000423,0.701843043,1.018634034,0.647127493,0.337038133,0,0.307375369
WBGene00000424,0.878583431,1.079041795,1.173817524,0.305389007,1.216797236,3.257866921
WBGene00000425,0.749287512,0.588636323,0.742845531,1.158334523,1.021164018,0.764019621
